project,bug_id,checkout,compile,tests_status,failing_tests_count,elapsed_seconds,error_msg
Chart,4,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 2183 to /tmp/d4j_parallel_workspace/Chart_4................... Can't exec ""svn"": No suc"
Chart,6,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 1166 to /tmp/d4j_parallel_workspace/Chart_6................... Can't exec ""svn"": No suc"
Chart,12,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 852 to /tmp/d4j_parallel_workspace/Chart_12................... Can't exec ""svn"": No suc"
Chart,2,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 2242 to /tmp/d4j_parallel_workspace/Chart_2................... Can't exec ""svn"": No suc"
Chart,7,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 1087 to /tmp/d4j_parallel_workspace/Chart_7................... Can't exec ""svn"": No suc"
Chart,11,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 1025 to /tmp/d4j_parallel_workspace/Chart_11.................. Can't exec ""svn"": No suc"
Chart,3,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 2227 to /tmp/d4j_parallel_workspace/Chart_3................... Can't exec ""svn"": No suc"
Chart,1,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 2266 to /tmp/d4j_parallel_workspace/Chart_1................... Can't exec ""svn"": No suc"
Chart,10,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 1065 to /tmp/d4j_parallel_workspace/Chart_10.................. Can't exec ""svn"": No suc"
Chart,9,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 1083 to /tmp/d4j_parallel_workspace/Chart_9................... Can't exec ""svn"": No suc"
Chart,8,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 1085 to /tmp/d4j_parallel_workspace/Chart_8................... Can't exec ""svn"": No suc"
Chart,5,FAILED,FAILED,SKIPPED,-1,0.17,"Checkout failed: Checking out 1696 to /tmp/d4j_parallel_workspace/Chart_5................... Can't exec ""svn"": No suc"
Chart,22,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 227 to /tmp/d4j_parallel_workspace/Chart_22................... Can't exec ""svn"": No suc"
Chart,17,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 622 to /tmp/d4j_parallel_workspace/Chart_17................... Can't exec ""svn"": No suc"
Chart,13,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 822 to /tmp/d4j_parallel_workspace/Chart_13................... Can't exec ""svn"": No suc"
Chart,18,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 621 to /tmp/d4j_parallel_workspace/Chart_18................... Can't exec ""svn"": No suc"
Chart,20,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 283 to /tmp/d4j_parallel_workspace/Chart_20................... Can't exec ""svn"": No suc"
Chart,16,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 743 to /tmp/d4j_parallel_workspace/Chart_16................... Can't exec ""svn"": No suc"
Chart,19,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 434 to /tmp/d4j_parallel_workspace/Chart_19................... Can't exec ""svn"": No suc"
Chart,14,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 811 to /tmp/d4j_parallel_workspace/Chart_14................... Can't exec ""svn"": No suc"
Chart,23,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 210 to /tmp/d4j_parallel_workspace/Chart_23................... Can't exec ""svn"": No suc"
Chart,21,FAILED,FAILED,SKIPPED,-1,0.15,"Checkout failed: Checking out 231 to /tmp/d4j_parallel_workspace/Chart_21................... Can't exec ""svn"": No suc"
Chart,15,FAILED,FAILED,SKIPPED,-1,0.15,"Checkout failed: Checking out 749 to /tmp/d4j_parallel_workspace/Chart_15................... Can't exec ""svn"": No suc"
Chart,24,FAILED,FAILED,SKIPPED,-1,0.18,"Checkout failed: Checking out 190 to /tmp/d4j_parallel_workspace/Chart_24................... Can't exec ""svn"": No suc"
Chart,25,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 164 to /tmp/d4j_parallel_workspace/Chart_25................... Can't exec ""svn"": No suc"
Chart,26,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 103 to /tmp/d4j_parallel_workspace/Chart_26................... Can't exec ""svn"": No suc"
Cli,10,SUCCESS,SUCCESS,COMPLETED,1,15.0,
Cli,11,SUCCESS,SUCCESS,COMPLETED,1,14.97,
Cli,9,SUCCESS,SUCCESS,COMPLETED,2,15.07,
Cli,8,SUCCESS,SUCCESS,COMPLETED,1,15.21,
Cli,5,SUCCESS,SUCCESS,COMPLETED,2,15.47,
Cli,2,SUCCESS,SUCCESS,COMPLETED,1,16.02,
Cli,3,SUCCESS,SUCCESS,COMPLETED,1,16.09,
Cli,12,SUCCESS,SUCCESS,COMPLETED,3,15.99,
Cli,4,SUCCESS,SUCCESS,COMPLETED,2,16.12,
Cli,1,SUCCESS,SUCCESS,COMPLETED,1,16.12,
Cli,13,SUCCESS,SUCCESS,COMPLETED,1,16.95,
Cli,7,SUCCESS,SUCCESS,COMPLETED,1,17.2,
Cli,17,SUCCESS,SUCCESS,COMPLETED,1,16.46,
Cli,14,SUCCESS,SUCCESS,COMPLETED,1,16.84,
Cli,18,SUCCESS,SUCCESS,COMPLETED,1,16.62,
Cli,20,SUCCESS,SUCCESS,COMPLETED,1,16.57,
Cli,19,SUCCESS,SUCCESS,COMPLETED,1,16.72,
Cli,15,SUCCESS,SUCCESS,COMPLETED,2,17.8,
Cli,16,SUCCESS,SUCCESS,COMPLETED,7,17.93,
Cli,25,SUCCESS,SUCCESS,COMPLETED,1,16.06,
Cli,24,SUCCESS,SUCCESS,COMPLETED,1,16.19,
Cli,21,SUCCESS,SUCCESS,COMPLETED,1,18.08,
Cli,23,SUCCESS,SUCCESS,COMPLETED,2,18.29,
Cli,22,SUCCESS,SUCCESS,COMPLETED,2,18.91,
Cli,26,SUCCESS,SUCCESS,COMPLETED,1,14.16,
Cli,27,SUCCESS,SUCCESS,COMPLETED,3,14.68,
Cli,28,SUCCESS,SUCCESS,COMPLETED,1,14.59,
Cli,30,SUCCESS,SUCCESS,COMPLETED,9,14.75,
Cli,29,SUCCESS,SUCCESS,COMPLETED,1,15.32,
Cli,32,SUCCESS,SUCCESS,COMPLETED,2,15.2,
Cli,31,SUCCESS,SUCCESS,COMPLETED,1,15.52,
Cli,33,SUCCESS,SUCCESS,COMPLETED,1,36.36,
Cli,34,SUCCESS,SUCCESS,COMPLETED,2,36.46,
Cli,35,SUCCESS,SUCCESS,COMPLETED,1,15.38,
Cli,36,SUCCESS,SUCCESS,COMPLETED,1,15.25,
Cli,37,SUCCESS,SUCCESS,COMPLETED,1,15.88,
Cli,38,SUCCESS,SUCCESS,COMPLETED,1,12.39,
Cli,39,SUCCESS,SUCCESS,COMPLETED,2,14.39,
Cli,40,SUCCESS,SUCCESS,COMPLETED,1,15.01,
Closure,2,SUCCESS,SUCCESS,SKIPPED,-1,472.0,Timeout (300s) exceeded
Closure,12,SUCCESS,SUCCESS,SKIPPED,-1,458.7,Timeout (300s) exceeded
Closure,1,SUCCESS,SUCCESS,SKIPPED,-1,472.85,Timeout (300s) exceeded
Closure,3,SUCCESS,SUCCESS,SKIPPED,-1,472.12,Timeout (300s) exceeded
Closure,9,SUCCESS,SUCCESS,SKIPPED,-1,469.48,Timeout (300s) exceeded
Closure,5,SUCCESS,SUCCESS,SKIPPED,-1,450.73,Timeout (300s) exceeded
Closure,6,SUCCESS,SUCCESS,SKIPPED,-1,450.23,Timeout (300s) exceeded
Closure,11,SUCCESS,SUCCESS,SKIPPED,-1,459.48,Timeout (300s) exceeded
Closure,4,SUCCESS,SUCCESS,SKIPPED,-1,471.59,Timeout (300s) exceeded
Closure,8,SUCCESS,SUCCESS,SKIPPED,-1,470.28,Timeout (300s) exceeded
Closure,7,SUCCESS,SUCCESS,SKIPPED,-1,470.83,Timeout (300s) exceeded
Closure,10,SUCCESS,SUCCESS,SKIPPED,-1,462.23,Timeout (300s) exceeded
Closure,13,SUCCESS,SUCCESS,SKIPPED,-1,494.99,Timeout (300s) exceeded
Closure,19,SUCCESS,SUCCESS,SKIPPED,-1,494.9,Timeout (300s) exceeded
Closure,18,SUCCESS,SUCCESS,SKIPPED,-1,494.93,Timeout (300s) exceeded
Closure,16,SUCCESS,SUCCESS,SKIPPED,-1,494.98,Timeout (300s) exceeded
Closure,20,SUCCESS,SUCCESS,SKIPPED,-1,494.89,Timeout (300s) exceeded
Closure,17,SUCCESS,SUCCESS,SKIPPED,-1,494.96,Timeout (300s) exceeded
Closure,22,SUCCESS,SUCCESS,SKIPPED,-1,494.81,Timeout (300s) exceeded
Closure,24,SUCCESS,SUCCESS,SKIPPED,-1,494.75,Timeout (300s) exceeded
Closure,15,SUCCESS,SUCCESS,SKIPPED,-1,494.99,Timeout (300s) exceeded
Closure,21,SUCCESS,SUCCESS,SKIPPED,-1,494.86,Timeout (300s) exceeded
Closure,14,SUCCESS,SUCCESS,SKIPPED,-1,494.99,Timeout (300s) exceeded
Closure,23,SUCCESS,SUCCESS,SKIPPED,-1,494.76,Timeout (300s) exceeded
Closure,31,SUCCESS,SUCCESS,SKIPPED,-1,471.9,Timeout (300s) exceeded
Closure,25,SUCCESS,SUCCESS,SKIPPED,-1,471.99,Timeout (300s) exceeded
Closure,27,SUCCESS,SUCCESS,SKIPPED,-1,471.94,Timeout (300s) exceeded
Closure,28,SUCCESS,SUCCESS,SKIPPED,-1,471.93,Timeout (300s) exceeded
Closure,36,SUCCESS,SUCCESS,SKIPPED,-1,471.81,Timeout (300s) exceeded
Closure,33,SUCCESS,SUCCESS,SKIPPED,-1,471.82,Timeout (300s) exceeded
Closure,34,SUCCESS,SUCCESS,SKIPPED,-1,471.83,Timeout (300s) exceeded
Closure,35,SUCCESS,SUCCESS,SKIPPED,-1,471.83,Timeout (300s) exceeded
Closure,32,SUCCESS,SUCCESS,SKIPPED,-1,471.9,Timeout (300s) exceeded
Closure,30,SUCCESS,SUCCESS,SKIPPED,-1,471.91,Timeout (300s) exceeded
Closure,29,SUCCESS,SUCCESS,SKIPPED,-1,471.9,Timeout (300s) exceeded
Closure,26,SUCCESS,SUCCESS,SKIPPED,-1,471.97,Timeout (300s) exceeded
Closure,43,SUCCESS,SUCCESS,SKIPPED,-1,441.81,Timeout (300s) exceeded
Closure,48,SUCCESS,SUCCESS,SKIPPED,-1,441.77,Timeout (300s) exceeded
Closure,45,SUCCESS,SUCCESS,SKIPPED,-1,441.81,Timeout (300s) exceeded
Closure,46,SUCCESS,SUCCESS,SKIPPED,-1,441.82,Timeout (300s) exceeded
Closure,47,SUCCESS,SUCCESS,SKIPPED,-1,441.77,Timeout (300s) exceeded
Closure,41,SUCCESS,SUCCESS,SKIPPED,-1,441.86,Timeout (300s) exceeded
Closure,44,SUCCESS,SUCCESS,SKIPPED,-1,441.84,Timeout (300s) exceeded
Closure,42,SUCCESS,SUCCESS,SKIPPED,-1,441.84,Timeout (300s) exceeded
Closure,38,SUCCESS,SUCCESS,SKIPPED,-1,441.85,Timeout (300s) exceeded
Closure,40,SUCCESS,SUCCESS,SKIPPED,-1,441.83,Timeout (300s) exceeded
Closure,37,SUCCESS,SUCCESS,SKIPPED,-1,441.87,Timeout (300s) exceeded
Closure,39,SUCCESS,SUCCESS,SKIPPED,-1,441.84,Timeout (300s) exceeded
Closure,57,SUCCESS,SUCCESS,SKIPPED,-1,461.77,Timeout (300s) exceeded
Closure,56,SUCCESS,SUCCESS,SKIPPED,-1,461.78,Timeout (300s) exceeded
Closure,55,SUCCESS,SUCCESS,SKIPPED,-1,461.78,Timeout (300s) exceeded
Closure,52,SUCCESS,SUCCESS,SKIPPED,-1,461.8,Timeout (300s) exceeded
Closure,59,SUCCESS,SUCCESS,SKIPPED,-1,461.7,Timeout (300s) exceeded
Closure,50,SUCCESS,SUCCESS,SKIPPED,-1,461.88,Timeout (300s) exceeded
Closure,60,SUCCESS,SUCCESS,SKIPPED,-1,461.68,Timeout (300s) exceeded
Closure,58,SUCCESS,SUCCESS,SKIPPED,-1,461.76,Timeout (300s) exceeded
Closure,49,SUCCESS,SUCCESS,SKIPPED,-1,461.88,Timeout (300s) exceeded
Closure,53,SUCCESS,SUCCESS,SKIPPED,-1,461.77,Timeout (300s) exceeded
Closure,51,SUCCESS,SUCCESS,SKIPPED,-1,461.91,Timeout (300s) exceeded
Closure,54,SUCCESS,SUCCESS,SKIPPED,-1,461.79,Timeout (300s) exceeded
Closure,71,SUCCESS,SUCCESS,SKIPPED,-1,463.5,Timeout (300s) exceeded
Closure,64,SUCCESS,SUCCESS,SKIPPED,-1,463.58,Timeout (300s) exceeded
Closure,67,SUCCESS,SUCCESS,SKIPPED,-1,463.56,Timeout (300s) exceeded
Closure,66,SUCCESS,SUCCESS,SKIPPED,-1,463.37,Timeout (300s) exceeded
Closure,69,SUCCESS,SUCCESS,SKIPPED,-1,463.49,Timeout (300s) exceeded
Closure,65,SUCCESS,SUCCESS,SKIPPED,-1,463.38,Timeout (300s) exceeded
Closure,68,SUCCESS,SUCCESS,SKIPPED,-1,463.53,Timeout (300s) exceeded
Closure,70,SUCCESS,SUCCESS,SKIPPED,-1,463.34,Timeout (300s) exceeded
Closure,73,SUCCESS,SUCCESS,SKIPPED,-1,463.27,Timeout (300s) exceeded
Closure,72,SUCCESS,SUCCESS,SKIPPED,-1,463.5,Timeout (300s) exceeded
Closure,62,SUCCESS,SUCCESS,SKIPPED,-1,464.04,Timeout (300s) exceeded
Closure,61,SUCCESS,SUCCESS,SKIPPED,-1,464.05,Timeout (300s) exceeded
Closure,82,SUCCESS,SUCCESS,SKIPPED,-1,396.56,Timeout (300s) exceeded
Closure,85,SUCCESS,SUCCESS,SKIPPED,-1,396.49,Timeout (300s) exceeded
Closure,77,SUCCESS,SUCCESS,SKIPPED,-1,396.67,Timeout (300s) exceeded
Closure,80,SUCCESS,SUCCESS,SKIPPED,-1,396.63,Timeout (300s) exceeded
Closure,74,SUCCESS,SUCCESS,SKIPPED,-1,396.74,Timeout (300s) exceeded
Closure,78,SUCCESS,SUCCESS,SKIPPED,-1,396.64,Timeout (300s) exceeded
Closure,75,SUCCESS,SUCCESS,SKIPPED,-1,396.72,Timeout (300s) exceeded
Closure,76,SUCCESS,SUCCESS,SKIPPED,-1,396.69,Timeout (300s) exceeded
Closure,79,SUCCESS,SUCCESS,SKIPPED,-1,396.68,Timeout (300s) exceeded
Closure,84,SUCCESS,SUCCESS,SKIPPED,-1,396.5,Timeout (300s) exceeded
Closure,83,SUCCESS,SUCCESS,SKIPPED,-1,396.56,Timeout (300s) exceeded
Closure,81,SUCCESS,SUCCESS,SKIPPED,-1,396.6,Timeout (300s) exceeded
Closure,88,SUCCESS,SUCCESS,SKIPPED,-1,417.83,Timeout (300s) exceeded
Closure,89,SUCCESS,SUCCESS,SKIPPED,-1,417.86,Timeout (300s) exceeded
Closure,87,SUCCESS,SUCCESS,SKIPPED,-1,417.83,Timeout (300s) exceeded
Closure,96,SUCCESS,SUCCESS,SKIPPED,-1,417.53,Timeout (300s) exceeded
Closure,90,SUCCESS,SUCCESS,SKIPPED,-1,417.76,Timeout (300s) exceeded
Closure,97,SUCCESS,SUCCESS,SKIPPED,-1,417.52,Timeout (300s) exceeded
Closure,91,SUCCESS,SUCCESS,SKIPPED,-1,417.74,Timeout (300s) exceeded
Closure,94,SUCCESS,SUCCESS,SKIPPED,-1,417.65,Timeout (300s) exceeded
Closure,98,SUCCESS,SUCCESS,SKIPPED,-1,417.49,Timeout (300s) exceeded
Closure,86,SUCCESS,SUCCESS,SKIPPED,-1,417.85,Timeout (300s) exceeded
Closure,95,SUCCESS,SUCCESS,SKIPPED,-1,417.63,Timeout (300s) exceeded
Closure,92,SUCCESS,SUCCESS,SKIPPED,-1,417.69,Timeout (300s) exceeded
Closure,106,SUCCESS,SUCCESS,SKIPPED,-1,396.08,Timeout (300s) exceeded
Closure,101,SUCCESS,SUCCESS,SKIPPED,-1,396.37,Timeout (300s) exceeded
Closure,104,SUCCESS,SUCCESS,SKIPPED,-1,396.31,Timeout (300s) exceeded
Closure,100,SUCCESS,SUCCESS,SKIPPED,-1,396.46,Timeout (300s) exceeded
Closure,103,SUCCESS,SUCCESS,SKIPPED,-1,396.31,Timeout (300s) exceeded
Closure,99,SUCCESS,SUCCESS,SKIPPED,-1,396.47,Timeout (300s) exceeded
Closure,105,SUCCESS,SUCCESS,SKIPPED,-1,396.16,Timeout (300s) exceeded
Closure,102,SUCCESS,SUCCESS,SKIPPED,-1,396.34,Timeout (300s) exceeded
Closure,108,SUCCESS,SUCCESS,SKIPPED,-1,427.38,Timeout (300s) exceeded
Closure,107,SUCCESS,SUCCESS,SKIPPED,-1,426.39,Timeout (300s) exceeded
Closure,110,SUCCESS,SUCCESS,SKIPPED,-1,427.04,Timeout (300s) exceeded
