project,bug_id,checkout,compile,tests_status,failing_tests_count,elapsed_seconds,error_msg
Chart,2,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 2242 to /tmp/d4j_parallel_workspace/Chart_2................... Can't exec ""svn"": No suc"
Chart,4,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 2183 to /tmp/d4j_parallel_workspace/Chart_4................... Can't exec ""svn"": No suc"
Chart,6,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 1166 to /tmp/d4j_parallel_workspace/Chart_6................... Can't exec ""svn"": No suc"
Chart,3,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 2227 to /tmp/d4j_parallel_workspace/Chart_3................... Can't exec ""svn"": No suc"
Chart,8,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 1085 to /tmp/d4j_parallel_workspace/Chart_8................... Can't exec ""svn"": No suc"
Chart,1,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 2266 to /tmp/d4j_parallel_workspace/Chart_1................... Can't exec ""svn"": No suc"
Chart,7,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 1087 to /tmp/d4j_parallel_workspace/Chart_7................... Can't exec ""svn"": No suc"
Chart,5,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 1696 to /tmp/d4j_parallel_workspace/Chart_5................... Can't exec ""svn"": No suc"
Chart,15,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 749 to /tmp/d4j_parallel_workspace/Chart_15................... Can't exec ""svn"": No suc"
Chart,13,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 822 to /tmp/d4j_parallel_workspace/Chart_13................... Can't exec ""svn"": No suc"
Chart,14,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 811 to /tmp/d4j_parallel_workspace/Chart_14................... Can't exec ""svn"": No suc"
Chart,10,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 1065 to /tmp/d4j_parallel_workspace/Chart_10.................. Can't exec ""svn"": No suc"
Chart,12,FAILED,FAILED,SKIPPED,-1,0.13,"Checkout failed: Checking out 852 to /tmp/d4j_parallel_workspace/Chart_12................... Can't exec ""svn"": No suc"
Chart,9,FAILED,FAILED,SKIPPED,-1,0.15,"Checkout failed: Checking out 1083 to /tmp/d4j_parallel_workspace/Chart_9................... Can't exec ""svn"": No suc"
Chart,16,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 743 to /tmp/d4j_parallel_workspace/Chart_16................... Can't exec ""svn"": No suc"
Chart,11,FAILED,FAILED,SKIPPED,-1,0.16,"Checkout failed: Checking out 1025 to /tmp/d4j_parallel_workspace/Chart_11.................. Can't exec ""svn"": No suc"
Chart,21,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 231 to /tmp/d4j_parallel_workspace/Chart_21................... Can't exec ""svn"": No suc"
Chart,20,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 283 to /tmp/d4j_parallel_workspace/Chart_20................... Can't exec ""svn"": No suc"
Chart,18,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 621 to /tmp/d4j_parallel_workspace/Chart_18................... Can't exec ""svn"": No suc"
Chart,17,FAILED,FAILED,SKIPPED,-1,0.14,"Checkout failed: Checking out 622 to /tmp/d4j_parallel_workspace/Chart_17................... Can't exec ""svn"": No suc"
